"","subject_ids","user_name","classification_id","workflow_version","habitat","transect","task_index","task","task_label","value","total_submissions","submission_index","choice","how_many","behavior_CLIMBING","behavior_EATING","behavior_FLYING","behavior_OTHER","behavior_SITTINGSTANDINGLYING","behavior_WALKINGRUNNING"
"19",27519583,"barthelmess",131775749,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"20",27519611,"barthelmess",131775853,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"21",27519713,"barthelmess",131776072,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""OTHERSMALLMAMMAL"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"OTHERSMALLMAMMAL","1",0,0,0,0,0,1
"22",27519601,"barthelmess",131776168,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"23",27519567,"not-logged-in-3e7dac3f67ec5494f772",131814081,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(), filters = list()))",1,1,"SQUIRRELGRAY",NA,NA,NA,NA,NA,NA,NA
"24",27519674,"not-logged-in-3e7dac3f67ec5494f772",131814301,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"25",27519683,"not-logged-in-9b422d4edd3bda5a664b",131814369,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"26",27519601,"not-logged-in-0ae392a1b8db01e94876",131814439,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"27",27519721,"not-logged-in-3e7dac3f67ec5494f772",131814450,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(), filters = list()))",1,1,"SQUIRRELGRAY",NA,NA,NA,NA,NA,NA,NA
"28",27519674,"not-logged-in-f7625b000d1a7eb04f3a",131814543,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"29",27519678,"not-logged-in-5a40cef95a9aa329b4b4",131814549,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"30",27519723,"shyanne75",131814550,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""CLIMBING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",1,0,0,0,0,0
"31",27519612,"not-logged-in-9b422d4edd3bda5a664b",131814559,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"32",27519671,"not-logged-in-cf7cac9645e9ab821469",131814562,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""EATING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,1,0,0,0,0
"33",27519573,"not-logged-in-3e7dac3f67ec5494f772",131814571,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(), filters = list()))",1,1,"SQUIRRELGRAY",NA,NA,NA,NA,NA,NA,NA
"34",27519565,"not-logged-in-814065f60ad1df71efdf",131814576,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"35",27519624,"not-logged-in-0ae392a1b8db01e94876",131814586,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"36",27519624,"not-logged-in-aa6c225cfb302cea8ad6",131814684,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"37",27519676,"revoss15",131814708,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""OTHERSMALLMAMMAL"", answers = list(YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"OTHERSMALLMAMMAL",NA,0,0,0,0,0,1
"38",27519665,"not-logged-in-6bbacd496b7d78237cef",131814719,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"39",27519705,"not-logged-in-a3ae103abff35bdd57c7",131814781,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""OTHERSMALLMAMMAL"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"OTHERSMALLMAMMAL","1",0,0,0,0,0,1
"40",27519516,"not-logged-in-5a40cef95a9aa329b4b4",131814783,20.19,"Hemlock","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"41",27519710,"not-logged-in-9b422d4edd3bda5a664b",131814796,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"42",27519640,"not-logged-in-8115f3d994e270181c60",131814803,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"43",27519620,"not-logged-in-0ae392a1b8db01e94876",131814807,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"44",27519617,"not-logged-in-3e7dac3f67ec5494f772",131814816,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(), filters = list()))",1,1,"SQUIRRELGRAY",NA,NA,NA,NA,NA,NA,NA
"45",27519618,"shyanne75",131814836,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"46",27519640,"not-logged-in-3e7dac3f67ec5494f772",131814874,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(), filters = list()))",1,1,"SQUIRRELGRAY",NA,NA,NA,NA,NA,NA,NA
"47",27519554,"not-logged-in-9b422d4edd3bda5a664b",131814934,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""EATING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,1,0,0,0,0
"48",27519642,"not-logged-in-6bbacd496b7d78237cef",131814937,20.19,"Pine","2",2,"T1",NA,"list(list(choice = ""HUMAN"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""SITTINGSTANDINGLYING"")), filters = list()))",1,1,"HUMAN","1",0,0,0,0,1,0
"49",27519602,"revoss15",131814939,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"50",27519552,"not-logged-in-5a40cef95a9aa329b4b4",131814940,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"51",27519703,"not-logged-in-814065f60ad1df71efdf",131814952,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"52",27519699,"not-logged-in-3e7dac3f67ec5494f772",131814982,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(), filters = list()))",1,1,"SQUIRRELGRAY",NA,NA,NA,NA,NA,NA,NA
"53",27519661,"not-logged-in-2851a217de4f7bd0ae9f",131815006,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"54",27519668,"not-logged-in-a3ae103abff35bdd57c7",131815014,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"55",27519699,"shyanne75",131815038,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"56",27519571,"not-logged-in-8115f3d994e270181c60",131815039,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"57",27519606,"not-logged-in-9b422d4edd3bda5a664b",131815054,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""EATING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,1,0,0,0,0
"58",27519601,"revoss15",131815063,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"59",27519708,"not-logged-in-0ae392a1b8db01e94876",131815079,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"60",27519667,"not-logged-in-3e7dac3f67ec5494f772",131815088,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(), filters = list()))",1,1,"SQUIRRELGRAY",NA,NA,NA,NA,NA,NA,NA
"61",27519550,"not-logged-in-cf7cac9645e9ab821469",131815103,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""OPOSSUM"", answers = list(YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"OPOSSUM",NA,0,0,0,0,0,1
"62",27519583,"not-logged-in-a3ae103abff35bdd57c7",131815171,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"63",27519611,"not-logged-in-5a40cef95a9aa329b4b4",131815172,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"64",27519700,"not-logged-in-8115f3d994e270181c60",131815188,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"65",27519669,"shyanne75",131815195,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"66",27519612,"not-logged-in-3e7dac3f67ec5494f772",131815198,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(), filters = list()))",1,1,"SQUIRRELGRAY",NA,NA,NA,NA,NA,NA,NA
"67",27519517,"not-logged-in-9b422d4edd3bda5a664b",131815199,20.19,"Hemlock","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"68",27519514,"not-logged-in-de2fafc4d3c310da0ccc",131815211,20.19,"Hemlock","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"69",27519732,"not-logged-in-cf7cac9645e9ab821469",131815217,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"70",27519543,"revoss15",131815222,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""HUMAN"", answers = list(WHATBEHAVIORSDOYOUSEE = list(""SITTINGSTANDINGLYING"")), filters = list()))",1,1,"HUMAN",NA,0,0,0,0,1,0
"71",27519559,"not-logged-in-6bbacd496b7d78237cef",131815225,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"72",27519667,"not-logged-in-0ae392a1b8db01e94876",131815237,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""YES"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"73",27519698,"not-logged-in-aa6c225cfb302cea8ad6",131815248,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"74",27519615,"not-logged-in-814065f60ad1df71efdf",131815321,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO""), filters = list()))",1,1,"SQUIRRELGRAY","1",NA,NA,NA,NA,NA,NA
"75",27519639,"not-logged-in-0ae392a1b8db01e94876",131815337,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"76",27519626,"not-logged-in-a3ae103abff35bdd57c7",131815338,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"77",27519663,"not-logged-in-8115f3d994e270181c60",131815339,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"78",27519690,"not-logged-in-2851a217de4f7bd0ae9f",131815351,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""EATING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,1,0,0,0,0
"79",27519507,"not-logged-in-9b422d4edd3bda5a664b",131815359,20.19,"Hemlock","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"80",27519550,"not-logged-in-3e7dac3f67ec5494f772",131815360,20.19,"Pine","1",2,"T1",NA,"list(list(choice = ""OPOSSUM"", answers = list(), filters = list()))",1,1,"OPOSSUM",NA,NA,NA,NA,NA,NA,NA
"81",27519686,"shyanne75",131815371,20.19,"Hemlock","2",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"82",27519641,"not-logged-in-de2fafc4d3c310da0ccc",131815471,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""HUMAN"", answers = list(), filters = list()))",1,1,"HUMAN",NA,NA,NA,NA,NA,NA,NA
"83",27519629,"not-logged-in-a3ae103abff35bdd57c7",131815477,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
"84",27519624,"not-logged-in-3e7dac3f67ec5494f772",131815486,20.19,"Deciduous","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(), filters = list()))",1,1,"SQUIRRELGRAY",NA,NA,NA,NA,NA,NA,NA
"85",27519514,"not-logged-in-cf7cac9645e9ab821469",131815519,20.19,"Hemlock","1",2,"T1",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY","1",0,0,0,0,0,1
